date,location_name,location,cases,cases_available,seq_available,seq_voc,seq_total,share_voc
2021-04-03,Austria,AT,22226,2021-04-03,,,,
2021-04-10,Austria,AT,18743,2021-04-10,,,,
2021-04-17,Austria,AT,16592,2021-04-17,,,,
2021-04-24,Austria,AT,15607,2021-04-24,,,,
2021-05-01,Austria,AT,13531,2021-05-01,2021-07-06,1,158,0.00632911392405063
2021-05-01,Austria,AT,13531,2021-05-01,2021-07-12,1,158,0.00632911392405063
2021-05-01,Austria,AT,13531,2021-05-01,2021-07-15,1,158,0.00632911392405063
2021-05-01,Austria,AT,13531,2021-05-01,2021-07-19,1,158,0.00632911392405063
2021-05-01,Austria,AT,13531,2021-05-01,2021-07-20,1,158,0.00632911392405063
2021-05-01,Austria,AT,13531,2021-05-01,2021-07-23,1,158,0.00632911392405063
2021-05-01,Austria,AT,13531,2021-05-01,2021-07-26,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-07-29,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-08-04,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-08-07,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-08-12,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-08-16,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-08-19,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-08-24,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-08-27,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-08-31,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-09-02,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-09-08,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-09-09,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-09-13,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-09-16,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-09-23,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-09-25,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-10-01,4,163,0.0245398773006135
2021-05-01,Austria,AT,13531,2021-05-01,2021-10-06,4,163,0.0245398773006135
2021-05-08,Austria,AT,9565,2021-05-08,2021-07-06,2,173,0.0115606936416185
2021-05-08,Austria,AT,9565,2021-05-08,2021-07-12,2,173,0.0115606936416185
2021-05-08,Austria,AT,9565,2021-05-08,2021-07-15,2,173,0.0115606936416185
2021-05-08,Austria,AT,9565,2021-05-08,2021-07-19,2,173,0.0115606936416185
2021-05-08,Austria,AT,9565,2021-05-08,2021-07-20,2,173,0.0115606936416185
2021-05-08,Austria,AT,9565,2021-05-08,2021-07-23,2,173,0.0115606936416185
2021-05-08,Austria,AT,9565,2021-05-08,2021-07-26,2,174,0.0114942528735632
2021-05-08,Austria,AT,9565,2021-05-08,2021-07-29,2,174,0.0114942528735632
2021-05-08,Austria,AT,9565,2021-05-08,2021-08-04,2,177,0.0112994350282486
2021-05-08,Austria,AT,9565,2021-05-08,2021-08-07,2,177,0.0112994350282486
2021-05-08,Austria,AT,9565,2021-05-08,2021-08-12,2,177,0.0112994350282486
2021-05-08,Austria,AT,9565,2021-05-08,2021-08-16,2,177,0.0112994350282486
2021-05-08,Austria,AT,9565,2021-05-08,2021-08-19,2,177,0.0112994350282486
2021-05-08,Austria,AT,9565,2021-05-08,2021-08-24,2,177,0.0112994350282486
2021-05-08,Austria,AT,9565,2021-05-08,2021-08-27,2,177,0.0112994350282486
2021-05-08,Austria,AT,9565,2021-05-08,2021-08-31,2,177,0.0112994350282486
2021-05-08,Austria,AT,9565,2021-05-08,2021-09-02,2,177,0.0112994350282486
2021-05-08,Austria,AT,9565,2021-05-08,2021-09-08,2,177,0.0112994350282486
2021-05-08,Austria,AT,9565,2021-05-08,2021-09-09,2,178,0.0112359550561798
2021-05-08,Austria,AT,9565,2021-05-08,2021-09-13,2,181,0.0110497237569061
2021-05-08,Austria,AT,9565,2021-05-08,2021-09-16,2,181,0.0110497237569061
2021-05-08,Austria,AT,9565,2021-05-08,2021-09-23,2,181,0.0110497237569061
2021-05-08,Austria,AT,9565,2021-05-08,2021-09-25,2,181,0.0110497237569061
2021-05-08,Austria,AT,9565,2021-05-08,2021-10-01,2,181,0.0110497237569061
