date,location_name,location,cases,cases_available,seq_total,seq_voc,share_voc,seq_available
2021-03-20,Germany,DE,87328,2021-03-20,,,,
2021-03-27,Germany,DE,109442,2021-03-27,,,,
2021-04-03,Germany,DE,117965,2021-04-03,,,,
2021-04-10,Germany,DE,107223,2021-04-10,,,,
2021-04-17,Germany,DE,142664,2021-04-17,3757,3,0.00079850944902848,2021-05-12
2021-04-17,Germany,DE,142664,2021-04-17,3768,5,0.00132696390658174,2021-05-19
2021-04-17,Germany,DE,142664,2021-04-17,3901,5,0.00128172263522174,2021-05-26
2021-04-17,Germany,DE,142664,2021-04-17,3897,5,0.00128303823453939,2021-06-02
2021-04-17,Germany,DE,142664,2021-04-17,4066,5,0.00122970978848992,2021-06-09
2021-04-17,Germany,DE,142664,2021-04-17,4072,6,0.00147347740667976,2021-06-16
2021-04-17,Germany,DE,142664,2021-04-17,4093,6,0.00146591741998534,2021-06-23
2021-04-17,Germany,DE,142664,2021-04-17,4105,6,0.00146163215590743,2021-06-30
2021-04-17,Germany,DE,142664,2021-04-17,4105,6,0.00146163215590743,2021-07-07
2021-04-17,Germany,DE,142664,2021-04-17,4105,6,0.00146163215590743,2021-07-14
2021-04-17,Germany,DE,142664,2021-04-17,4108,6,0.00146056475170399,2021-07-22
2021-04-17,Germany,DE,142664,2021-04-17,4108,6,0.00146056475170399,2021-07-29
2021-04-17,Germany,DE,142664,2021-04-17,0,,,2021-08-05
2021-04-17,Germany,DE,142664,2021-04-17,0,,,2021-08-12
2021-04-17,Germany,DE,142664,2021-04-17,0,,,2021-08-19
2021-04-17,Germany,DE,142664,2021-04-17,0,,,2021-08-26
2021-04-17,Germany,DE,142664,2021-04-17,0,,,2021-09-02
2021-04-17,Germany,DE,142664,2021-04-17,0,,,2021-09-09
2021-04-24,Germany,DE,145568,2021-04-24,3957,15,0.00379075056861259,2021-05-12
2021-04-24,Germany,DE,145568,2021-04-24,4181,24,0.00574025352786415,2021-05-19
2021-04-24,Germany,DE,145568,2021-04-24,4363,30,0.0068760027504011,2021-05-26
2021-04-24,Germany,DE,145568,2021-04-24,4356,30,0.0068870523415978,2021-06-02
2021-04-24,Germany,DE,145568,2021-04-24,4494,31,0.00689808633733867,2021-06-09
2021-04-24,Germany,DE,145568,2021-04-24,4500,32,0.00711111111111111,2021-06-16
2021-04-24,Germany,DE,145568,2021-04-24,4516,32,0.0070859167404783,2021-06-23
2021-04-24,Germany,DE,145568,2021-04-24,4537,34,0.00749393872603042,2021-06-30
2021-04-24,Germany,DE,145568,2021-04-24,4537,34,0.00749393872603042,2021-07-07
2021-04-24,Germany,DE,145568,2021-04-24,4537,34,0.00749393872603042,2021-07-14
2021-04-24,Germany,DE,145568,2021-04-24,4539,34,0.00749063670411985,2021-07-22
2021-04-24,Germany,DE,145568,2021-04-24,4539,34,0.00749063670411985,2021-07-29
2021-04-24,Germany,DE,145568,2021-04-24,0,,,2021-08-05
2021-04-24,Germany,DE,145568,2021-04-24,0,,,2021-08-12
2021-04-24,Germany,DE,145568,2021-04-24,0,,,2021-08-19
2021-04-24,Germany,DE,145568,2021-04-24,0,,,2021-08-26
2021-04-24,Germany,DE,145568,2021-04-24,0,,,2021-09-02
2021-04-24,Germany,DE,145568,2021-04-24,0,,,2021-09-09
2021-05-01,Germany,DE,131887,2021-05-01,1913,19,0.00993204391008886,2021-05-12
2021-05-01,Germany,DE,131887,2021-05-01,2916,32,0.0109739368998628,2021-05-19
2021-05-01,Germany,DE,131887,2021-05-01,3406,51,0.0149735760422783,2021-05-26
2021-05-01,Germany,DE,131887,2021-05-01,3424,55,0.0160630841121495,2021-06-02
2021-05-01,Germany,DE,131887,2021-05-01,3615,55,0.0152143845089903,2021-06-09
2021-05-01,Germany,DE,131887,2021-05-01,3607,55,0.015248128638758,2021-06-16
2021-05-01,Germany,DE,131887,2021-05-01,3646,55,0.0150850246845858,2021-06-23
2021-05-01,Germany,DE,131887,2021-05-01,3663,55,0.015015015015015,2021-06-30
2021-05-01,Germany,DE,131887,2021-05-01,3664,55,0.0150109170305677,2021-07-07
2021-05-01,Germany,DE,131887,2021-05-01,3664,55,0.0150109170305677,2021-07-14
2021-05-01,Germany,DE,131887,2021-05-01,3667,54,0.0147259340059995,2021-07-22
2021-05-01,Germany,DE,131887,2021-05-01,3667,54,0.0147259340059995,2021-07-29
2021-05-01,Germany,DE,131887,2021-05-01,0,,,2021-08-05
2021-05-01,Germany,DE,131887,2021-05-01,0,,,2021-08-12
2021-05-01,Germany,DE,131887,2021-05-01,0,,,2021-08-19
2021-05-01,Germany,DE,131887,2021-05-01,0,,,2021-08-26
2021-05-01,Germany,DE,131887,2021-05-01,0,,,2021-09-02
2021-05-01,Germany,DE,131887,2021-05-01,0,,,2021-09-09
2021-05-08,Germany,DE,107141,2021-05-08,2161,37,0.017121702915317,2021-05-19
2021-05-08,Germany,DE,107141,2021-05-08,4004,82,0.0204795204795205,2021-05-26
